,language,project,path,method,cyclomatic_complexity,date,nloc,proportion_nloc,start-line,end-line,commits,total_lines_add,total_lines_del,diff_lines,authors,lifetime,frequency,proportion_add_method,stars_project,source_files_project,commits_project,lifetime_project,first_CC,middle_1,middle_2,last_CC
0,C#,wpf,src/Microsoft.DotNet.Wpf/src/PresentationBuildTasks/Microsoft/Build/Tasks/Windows/UpdateManifestForBrowserApplication.cs,UpdateManifestForBrowserApplication::Execute(),8,2020-08-11 14:11:32+00:00,66,0.6055045871559633,70.0,164.0,4,283,1,282,2,69,0.057971014492753624,0.23208722741433022,4664,4286,2473,642,8,8,8,8
1,C#,ILSpy,ILSpy/MainWindow.xaml.cs,"MainWindow::ShowInBottomPane(stringtitle,objectcontent)",2,2020-08-10 21:34:35+02:00,9,0.008538899430740038,267.0,275.0,5,28,9,19,2,3229,0.001548467017652524,0.2774936061381074,11047,1103,6159,4692,4,5,5,2
2,C#,PowerShell,src/System.Management.Automation/engine/lang/parserutils.cs,ParserOps::parseRegexOptions(SplitOptionsoptions),7,2020-08-11 14:01:47-07:00,29,0.021986353297953,471.0,505.0,4,54,20,34,4,999,0.004004004004004004,0.2053838484546361,22095,1282,8300,2006,2,2,7,7
3,C#,orleans,src/Azure/Orleans.Clustering.AzureStorage/AzureBasedMembershipTable.cs,AzureBasedMembershipTable::ReadRow(SiloAddresskey),3,2020-08-11 12:40:07-07:00,16,0.0547945205479452,67.0,82.0,8,79,4,75,6,1048,0.007633587786259542,0.016488845780795344,6892,2673,4929,2062,3,3,3,3
4,C#,PowerShell,src/System.Management.Automation/engine/SessionStateLocationAPIs.cs,SessionStateInternal::PushCurrentLocation(stringstackName),3,2020-08-11 14:01:47-07:00,15,0.02403846153846154,818.0,837.0,5,60,10,50,4,1006,0.004970178926441352,0.2053838484546361,22095,1282,8300,2006,3,3,3,3
5,C#,PowerShell,src/System.Management.Automation/engine/ProgressRecord.cs,"ProgressRecord::GetPercentageComplete(DateTimestartTime,TimeSpanexpectedDuration)",3,2020-08-11 14:01:47-07:00,21,0.07446808510638298,366.0,425.0,5,70,11,59,4,1511,0.0033090668431502318,0.2053838484546361,22095,1282,8300,2006,3,3,3,3
6,C#,PowerShell,src/System.Management.Automation/FormatAndOutput/common/BaseCommand.cs,FrontEndCommandBase::InternalDispose(),2,2020-08-11 14:01:47-07:00,7,0.03608247422680412,260.0,267.0,5,17,3,14,4,1583,0.003158559696778269,0.2053838484546361,22095,1282,8300,2006,2,2,2,2
7,C#,efcore,test/EFCore.SqlServer.FunctionalTests/Query/QueryBugsTest.cs,QueryBugsTest::Execute1742(CustomerDetails_1742details),2,2020-08-11 14:40:49-07:00,9,0.0013217799970627116,832.0,849.0,26,236,67,169,11,1695,0.015339233038348082,0.17767558528428093,9456,3572,10538,2392,2,2,2,2
8,C#,PowerShell,src/System.Management.Automation/engine/parser/Compiler.cs,Compiler::NewValidateSetAttribute(AttributeAstast),7,2020-08-11 14:01:47-07:00,60,0.01153846153846154,1599.0,1664.0,7,83,18,65,5,1301,0.005380476556495004,0.2053838484546361,22095,1282,8300,2006,3,4,7,7
9,C#,orleans,src/Orleans.Runtime/GrainDirectory/GrainDirectoryHandoffManager.cs,GrainDirectoryHandoffManager::GetHandedOffInfo(GrainIdgrain),2,2020-08-11 12:40:07-07:00,13,0.029885057471264367,47.0,59.0,5,34,10,24,5,994,0.005030181086519115,0.016488845780795344,6892,2673,4929,2062,2,2,2,2
10,C#,orleans,test/TesterInternal/StorageTests/PersistenceGrainTests.cs,PersistenceGrainTests_Local::Persistence_Grain_ReRead_Error(),7,2020-08-11 12:40:07-07:00,65,0.06429277942631058,525.0,606.0,6,202,40,162,4,432,0.013888888888888888,0.17749757516973813,6892,2673,4929,2062,7,7,7,7
11,C#,PowerShell,src/System.Management.Automation/engine/MshMemberInfo.cs,"PSMemberInfoInternalCollection<T>::Add(Tmember,boolpreValidated)",4,2020-08-11 14:01:47-07:00,23,0.007531106745252128,4069.0,4093.0,6,35,11,24,5,1583,0.003790271636133923,0.2053838484546361,22095,1282,8300,2006,4,4,4,4
12,C#,PowerShell,src/System.Management.Automation/engine/serialization.cs,InternalDeserializer::DeserializeChar(InternalDeserializerdeserializer),3,2020-08-11 14:01:47-07:00,18,0.003478260869565217,4180.0,4198.0,4,36,1,35,4,1013,0.003948667324777887,0.2053838484546361,22095,1282,8300,2006,3,3,3,3
13,C#,PowerShell,src/System.Management.Automation/engine/DataStoreAdapter.cs,PSDriveInfo::GetNotePropertyForProviderCmdlets(stringname),2,2020-08-11 14:01:47-07:00,9,0.02735562310030395,821.0,830.0,4,11,2,9,4,1583,0.002526847757422615,0.2053838484546361,22095,1282,8300,2006,2,2,2,2
14,C#,PowerShell,src/System.Management.Automation/engine/MshCmdlet.cs,"CommandInvocationIntrinsics::GetCommands(stringname,CommandTypescommandTypes,boolnameIsPattern)",3,2020-08-11 14:01:47-07:00,11,0.01864406779661017,607.0,619.0,4,15,3,12,3,1583,0.002526847757422615,0.2053838484546361,22095,1282,8300,2006,3,3,3,3
15,C#,efcore,src/EFCore.Design/Migrations/Design/CSharpMigrationOperationGenerator.cs,"CSharpMigrationOperationGenerator::Generate([NotNull]DropUniqueConstraintOperationoperation,[NotNull]IndentedStringBuilderbuilder)",2,2020-08-11 14:40:49-07:00,25,0.014376078205865441,1602.0,1631.0,13,278,27,251,5,845,0.015384615384615385,0.1588628762541806,9456,3572,10538,2392,3,2,2,2
16,C#,PowerShell,src/System.Management.Automation/FormatAndOutput/common/DisplayDatabase/typeDataXmlLoader.cs,ComplexControlMatch::ProcessNode(XmlNoden),4,2020-08-11 14:01:47-07:00,23,0.014075887392900856,2198.0,2223.0,6,57,8,49,5,1583,0.003790271636133923,0.2053838484546361,22095,1282,8300,2006,4,4,4,4
17,C#,aspnetboilerplate,src/Abp.Web.Mvc/Web/Mvc/Extensions/HtmlHelperResourceExtensions.cs,HtmlHelperResourceExtensions::GetPathWithVersioningForEmbeddedFile(stringpath),3,2020-08-07 13:18:10+03:00,15,0.17647058823529413,91.0,109.0,6,75,3,72,2,2012,0.002982107355864811,0.14218381775333858,8803,2285,6550,2546,3,3,3,3
18,C#,IdentityServer4,samples/Quickstarts/3_AspNetCoreAndApis/src/IdentityServer/Quickstart/Account/AccountController.cs,AccountController::BuildLoginViewModelAsync(stringreturnUrl),13,2020-08-09 09:09:27-04:00,48,0.19123505976095612,240.0,296.0,9,293,13,280,2,911,0.009879253567508232,0.4448315911730546,7065,1141,3203,1722,11,12,12,13
19,C#,PowerShell,src/Microsoft.WSMan.Management/WsManHelper.cs,"WSManHelper::CreateWsManConnection(stringParameterSetName,Uriconnectionuri,intport,stringcomputername,stringapplicationname,boolusessl,AuthenticationMechanismauthentication,SessionOptionsessionoption,PSCredentialcredential,stringcertificateThumbprint)",6,2020-08-11 14:01:47-07:00,33,0.035830618892508145,947.0,982.0,7,45,10,35,4,1417,0.004940014114326041,0.25822532402791626,22095,1282,8300,2006,6,6,6,6
20,C#,ILSpy,ICSharpCode.Decompiler/IL/Transforms/LockTransform.cs,"LockTransform::TransformLockV2(Blockblock,inti)",13,2020-08-10 21:34:35+02:00,20,0.11560693641618495,115.0,134.0,4,21,2,19,2,517,0.007736943907156673,0.7747229326513214,11047,1103,6159,4692,12,13,13,13
21,C#,ShareX,ShareX/LanguageHelper.cs,"LanguageHelper::ChangeLanguage(SupportedLanguagelanguage,paramsForm[]forms)",3,2020-08-11 20:24:58+03:00,26,0.13,38.0,68.0,23,109,79,30,1,901,0.025527192008879023,0.14371497197758207,13785,753,6344,2498,6,5,14,3
22,C#,ShareX,ShareX.ImageEffectsLib/Forms/ImageEffectPackagerForm.cs,"ImageEffectPackagerForm::btnPackage_Click(objectsender,EventArgse)",8,2020-08-11 20:24:58+03:00,24,0.3116883116883117,87.0,112.0,4,99,0,99,2,11,0.36363636363636365,0.9823859087269816,13785,753,6344,2498,6,8,8,8
23,C#,efcore,src/EFCore.InMemory/Query/Internal/InMemoryQueryableMethodTranslatingExpressionVisitor.cs,"InMemoryQueryableMethodTranslatingExpressionVisitor::TranslateSingleResultOperator(ShapedQueryExpressionsource,LambdaExpressionpredicate,TypereturnType,MethodInfomethod)",4,2020-08-11 14:40:49-07:00,21,0.02110552763819096,1455.0,1479.0,7,86,18,68,2,249,0.028112449799196786,0.8047658862876255,9456,3572,10538,2392,3,3,4,4
24,C#,PowerShell,src/System.Management.Automation/engine/MshMemberInfo.cs,"PSScriptProperty::InvokeSetter(objectscriptThis,objectvalue)",5,2020-08-11 14:01:47-07:00,30,0.009823182711198428,1818.0,1848.0,5,42,12,30,5,1120,0.004464285714285714,0.2053838484546361,22095,1282,8300,2006,6,5,5,5
25,C#,PowerShell,src/System.Management.Automation/engine/remoting/common/WireDataFormat/EncodeAndDecode.cs,RemotingDecoder::GetThreadOptions(PSObjectdataAsPSObject),2,2020-08-11 14:01:47-07:00,8,0.005625879043600564,2008.0,2016.0,4,11,3,8,3,1583,0.002526847757422615,0.2053838484546361,22095,1282,8300,2006,2,2,2,2
26,C#,PowerShell,src/System.Management.Automation/namespaces/SessionStateProviderBase.cs,"SessionStateProviderBase::GetChildNames(stringpath,ReturnContainersreturnContainers)",9,2020-08-11 14:01:47-07:00,75,0.09727626459143968,415.0,496.0,4,89,8,81,4,1006,0.003976143141153081,0.2053838484546361,22095,1282,8300,2006,9,9,9,9
27,C#,ILSpy,ILSpy/TreeNodes/TypeTreeNode.cs,TypeTreeNode::Filter(FilterSettingssettings),6,2020-08-10 21:34:35+02:00,13,0.1015625,59.0,71.0,7,31,11,20,2,2879,0.0024313997915943034,0.2593776641091219,11047,1103,6159,4692,4,4,5,6
28,C#,orleans,test/Grains/TestInternalGrains/StreamingGrain.cs,PersistentStreaming_ConsumerGrain::OnActivateAsync(),2,2020-08-11 12:40:07-07:00,19,0.0231990231990232,713.0,732.0,4,58,1,57,3,852,0.004694835680751174,0.17652764306498545,6892,2673,4929,2062,2,2,2,2
29,C#,PowerShell,src/System.Management.Automation/help/UpdatableHelpSystem.cs,"UpdatableHelpSystem::ValidateAndCopyHelpContent(stringsourcePath,Collection<string>destPaths,stringculture,stringxsdPath,outCollection<string>installed)",29,2020-08-11 14:01:47-07:00,155,0.13926325247079965,1225.0,1408.0,7,204,21,183,6,1583,0.004421983575489577,0.2053838484546361,22095,1282,8300,2006,31,31,29,29
30,C#,PowerShell,src/System.Management.Automation/engine/ShellVariable.cs,"PSVariable::PSVariable(stringname,objectvalue,ScopedItemOptionsoptions,Collection<Attribute>attributes)",4,2020-08-11 14:01:47-07:00,26,0.055201698513800426,154.0,189.0,5,46,11,35,4,1511,0.0033090668431502318,0.2053838484546361,22095,1282,8300,2006,4,4,4,4
31,C#,wpf,src/Microsoft.DotNet.Wpf/src/System.Xaml/System/Xaml/XamlXmlWriter.cs,XamlXmlWriter::WriteNamespace(NamespaceDeclarationnamespaceDeclaration),5,2020-08-11 14:11:32+00:00,21,0.011837655016910935,238.0,263.0,5,32,7,25,2,148,0.033783783783783786,0.00778816199376947,4664,4286,2473,642,5,5,5,5
32,C#,PowerShell,src/Microsoft.PowerShell.Commands.Management/commands/management/Service.cs,"ServiceCommandException::GetObjectData(SerializationInfoinfo,StreamingContextcontext)",2,2020-08-11 14:01:47-07:00,9,0.004435682602267128,2579.0,2588.0,4,12,3,9,3,1583,0.002526847757422615,0.2053838484546361,22095,1282,8300,2006,2,2,2,2
33,C#,PowerShell,src/System.Management.Automation/namespaces/EnvironmentProvider.cs,EnvironmentProvider::GetSessionStateItem(stringname),2,2020-08-11 14:01:47-07:00,13,0.11403508771929825,78.0,94.0,4,18,2,16,4,1006,0.003976143141153081,0.2053838484546361,22095,1282,8300,2006,2,2,2,2
34,C#,PowerShell,src/System.Management.Automation/engine/EventManager.cs,"PSEventJob::Invoke(PSEventSubscribereventSubscriber,PSEventArgseventArgs)",4,2020-08-11 14:01:47-07:00,36,0.028391167192429026,2560.0,2614.0,5,74,20,54,4,1584,0.0031565656565656565,0.2053838484546361,22095,1282,8300,2006,4,4,4,4
35,C#,ShareX,ShareX.UploadersLib/FileUploaders/SFTP.cs,"SFTP::Upload(Streamstream,stringfileName)",4,2020-08-11 20:24:58+03:00,23,0.11855670103092784,52.0,81.0,10,121,32,89,2,1269,0.007880220646178092,0.010008006405124099,13785,753,6344,2498,5,4,4,4
36,C#,aspnetboilerplate,src/Abp.Web.Api/WebApi/Controllers/ResultWrapperHandler.cs,"ResultWrapperHandler::WrapResultIfNeeded(HttpRequestMessagerequest,HttpResponseMessageresponse)",9,2020-08-07 13:18:10+03:00,45,0.5555555555555556,34.0,86.0,9,72,20,52,2,254,0.03543307086614173,0.33935585231736054,8803,2285,6550,2546,7,7,7,9
37,C#,efcore,src/EFCore/Query/Internal/NullCheckRemovingExpressionVisitor.cs,NullSafeAccessVerifyingExpressionVisitor::VisitUnary(UnaryExpressionunaryExpression),4,2020-08-11 14:40:49-07:00,12,0.15,94.0,107.0,5,36,1,35,3,221,0.02262443438914027,0.8047658862876255,9456,3572,10538,2392,4,4,4,4
38,C#,IdentityServer4,src/EntityFramework/host/Quickstart/Device/DeviceController.cs,"DeviceController::BuildViewModelAsync(stringuserCode,DeviceAuthorizationInputModelmodel=null)",2,2020-08-09 09:09:27-04:00,9,0.047619047619047616,146.0,155.0,5,79,20,59,3,519,0.009633911368015413,0.6231126596980255,7065,1141,3203,1722,6,6,2,2
