,language,weekday,year,total
0,C#,Segunda,1992,0
1,C#,Segunda,1993,0
2,C#,Segunda,1994,0
3,C#,Segunda,1995,0
4,C#,Segunda,1996,0
5,C#,Segunda,1997,0
6,C#,Segunda,1998,0
7,C#,Segunda,1999,0
8,C#,Segunda,2000,0
9,C#,Segunda,2001,0
10,C#,Segunda,2002,0
11,C#,Segunda,2003,0
12,C#,Segunda,2004,0
13,C#,Segunda,2005,0
14,C#,Segunda,2006,0
15,C#,Segunda,2007,0
16,C#,Segunda,2008,0
17,C#,Segunda,2009,0
18,C#,Segunda,2010,0
19,C#,Segunda,2011,0
20,C#,Segunda,2012,0
21,C#,Segunda,2013,0
22,C#,Segunda,2014,3
23,C#,Segunda,2015,11
24,C#,Segunda,2016,25
25,C#,Segunda,2017,56
26,C#,Segunda,2018,90
27,C#,Segunda,2019,126
28,C#,Segunda,2020,157
29,C++,Segunda,1992,0
30,C++,Segunda,1993,0
31,C++,Segunda,1994,0
32,C++,Segunda,1995,0
33,C++,Segunda,1996,0
34,C++,Segunda,1997,0
35,C++,Segunda,1998,0
36,C++,Segunda,1999,0
37,C++,Segunda,2000,0
38,C++,Segunda,2001,0
39,C++,Segunda,2002,0
40,C++,Segunda,2003,0
41,C++,Segunda,2004,0
42,C++,Segunda,2005,0
43,C++,Segunda,2006,0
44,C++,Segunda,2007,0
45,C++,Segunda,2008,0
46,C++,Segunda,2009,8
47,C++,Segunda,2010,13
48,C++,Segunda,2011,22
49,C++,Segunda,2012,29
50,C++,Segunda,2013,53
51,C++,Segunda,2014,125
52,C++,Segunda,2015,206
53,C++,Segunda,2016,310
54,C++,Segunda,2017,428
55,C++,Segunda,2018,545
56,C++,Segunda,2019,679
57,C++,Segunda,2020,785
58,Java,Segunda,1992,0
59,Java,Segunda,1993,0
60,Java,Segunda,1994,0
61,Java,Segunda,1995,0
62,Java,Segunda,1996,0
63,Java,Segunda,1997,0
64,Java,Segunda,1998,0
65,Java,Segunda,1999,0
66,Java,Segunda,2000,0
67,Java,Segunda,2001,0
68,Java,Segunda,2002,0
69,Java,Segunda,2003,0
70,Java,Segunda,2004,0
71,Java,Segunda,2005,0
72,Java,Segunda,2006,0
73,Java,Segunda,2007,0
74,Java,Segunda,2008,1
75,Java,Segunda,2009,2
76,Java,Segunda,2010,3
77,Java,Segunda,2011,11
78,Java,Segunda,2012,37
79,Java,Segunda,2013,65
80,Java,Segunda,2014,75
81,Java,Segunda,2015,89
82,Java,Segunda,2016,116
83,Java,Segunda,2017,145
84,Java,Segunda,2018,186
85,Java,Segunda,2019,227
86,Java,Segunda,2020,263
87,JavaScript,Segunda,1992,0
88,JavaScript,Segunda,1993,0
89,JavaScript,Segunda,1994,0
90,JavaScript,Segunda,1995,0
91,JavaScript,Segunda,1996,0
92,JavaScript,Segunda,1997,0
93,JavaScript,Segunda,1998,0
94,JavaScript,Segunda,1999,0
95,JavaScript,Segunda,2000,0
96,JavaScript,Segunda,2001,0
97,JavaScript,Segunda,2002,0
98,JavaScript,Segunda,2003,0
99,JavaScript,Segunda,2004,0
100,JavaScript,Segunda,2005,0
101,JavaScript,Segunda,2006,0
102,JavaScript,Segunda,2007,0
103,JavaScript,Segunda,2008,0
104,JavaScript,Segunda,2009,0
105,JavaScript,Segunda,2010,0
106,JavaScript,Segunda,2011,3
107,JavaScript,Segunda,2012,6
108,JavaScript,Segunda,2013,16
109,JavaScript,Segunda,2014,31
110,JavaScript,Segunda,2015,53
111,JavaScript,Segunda,2016,61
